Task ID,Priority,Category,Task,Description / Acceptance Criteria,Status,Owner,Target Day,Phase,Source,Exact change (what shipped)
P0-01,P0,Location & Matching,Location-based Wall of Kindness,Wall shows items based on user's location; nearby-first discovery works,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Wall + map use live inventory; donor-send sorts by ~3 km when lat/lng present
P0-02,P0,Location & Matching,Implement ~3 km nearby-first logic,Items within ~3 km appear first; broader inventory still discoverable where applicable,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,geo.ts GIVER_SENDS_MATCH_RADIUS_KM + items API distance sort
P0-03,P0,Location & Matching,Public locality only (no exact address),Public listings show generic/broad locality (e.g. area name); exact address hidden until needed for handover,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Cards/detail show locality/publicArea only (e.g. Juhu)
P0-04,P0,Location & Matching,Activate/update map from inventory & location,Map reflects live inventory/status by location (or hide map if not ready for F&F),Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,KindnessMap uses live wall items + area centroids (no MOCK_MAP_DATA)
P0-05,P0,Location & Matching,Seed first ~40 items as Being Matched / matched,Seeded inventory shows correct statuses; first ~40 appear as Being Matched/matched for social proof,Partial,,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,"Batch1 shirts=Reloved (NGO delivered); Batch2 pants=Available. Optional: re-seed more Being Matched for social proof"
P0-06,P0,Claim Lifecycle,Complete Claim → Accept/Decline → Match → Handover → Received → Reloved,Full lifecycle works end-to-end for giver and claimer with correct status transitions,Done (code) / QA pending,,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,matchFlow + DonorDashboard + ClaimDetail status path wired
P0-07,P0,Claim Lifecycle,Giver Accept / Decline,Giver can Accept or Decline a claim request,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Giver decision UI + API
P0-08,P0,Claim Lifecycle,Decline reason required/captured,On decline ask for a reason (e.g. too far / out of zone),Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Decline reason field + soft messaging
P0-09,P0,Claim Lifecycle,Item remains available after decline,Declined claim returns item to available state for other claimers,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,publicStatus reset to available on decline
P0-10,P0,Claim Lifecycle,Friendly non-rejection message to claimant,Claimant gets soft copy (never Rejected); location/distance messaging where relevant,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,In-app + email soft "couldn't match" copy
P0-11,P0,Claim Lifecycle,Status correct in user + admin flows,Available / Being Matched / Reloved (and intermediate states) consistent across UI and admin,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Wall cards + admin use shared status labels
P0-12,P0,Messaging & Notifications,Finalise Accept/Decline/Match/Handover copy,All critical event messages reviewed and soft-toned; no harsh rejection language,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,notifications.ts + ClaimDetail soft titles/bodies
P0-13,P0,Messaging & Notifications,Platform chat as primary channel,Giver-claimer communication happens primarily in-platform,Done (existing),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,In-app message threads (pre-existing; kept primary)
P0-14,P0,Messaging & Notifications,Email fallback when user offline,Critical events also emailed if users don't check the platform,Done (existing),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Brevo templates on claim/match/delivery events
P0-15,P0,Messaging & Notifications,Verify notification triggers by stage,Notifications fire at correct stages (claim received match decline handover etc.),QA pending,,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,Code wired — needs live Thu QA pass with real emails
P0-16,P0,Delivery & Handover,Support direct giver handover,Handed Over updates transaction status correctly,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Handed Over / received path in match flow
P0-17,P0,Delivery & Handover,Support giver books ONE courier path,"F&F: handover OR a single chosen courier (Borzo OR Porter — pick one not both). Dual courier choice deferred to Phase 2 decision then deep-integrate only that one.",Done (code),Aniket,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Borzo-only; Porter CTAs removed 17 Sep; estimate/book/sync/cancel API live
P0-18,P0,Delivery & Handover,Show giver delivery preference to claimer,Claimer sees who pays / preferred delivery option before or during claim,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Item detail shows giverLogistics / porterPaidBy; first-500 Reloved-paid copy
P0-19,P0,Delivery & Handover,Courier prepaid / no COD for launch,Launch build uses prepaid courier only; no COD,Done (code),Aniket,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,payment_method=balance; first-500 subsidy counter in Firestore config/borzoSubsidy
P0-20,P0,Privacy & Location,Exact address only at handover,Exact address revealed only when required for delivery/handover,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Public surfaces use locality only
P0-21,P0,Privacy & Location,Update Privacy Policy,Update authenticity/condition/platform-responsibility wording; platform connects people without guarantees,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,StaticPages authenticity / platform-role section
P0-22,P0,Privacy & Location,Minimise unnecessary personal address exposure,User is not forced to expose personal address on public surfaces,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Privacy building notice + publicArea pattern
P0-23,P0,Onboarding & Listing,Fix Boys/Girls/Kids size field rules,Size not unnecessarily required for kids/boys/girls; adult categories keep size where applicable; no forced irrelevant fields,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Give.tsx kids size optional
P0-24,P0,Onboarding & Listing,Allow delete own uncompleted listing,User can remove their own incomplete listing,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,DonorDashboard delete + API DELETE submissions
P0-25,P0,Onboarding & Listing,Support multiple photos per item,Item listing supports multiple photos,Done (existing),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Give multi-photo FormData
P0-26,P0,Onboarding & Listing,Fix mobile gallery upload,Mobile photo/gallery upload works reliably,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,compressImage HEIC/empty-MIME harden + higher multipart limits
