Bucket,Task ID,Priority,Category,Task,What to do / Notes,Code Status,Evidence / Notes,Target Day,Owner
TO DO,TODO-01,P0,Location & Matching,Activate map with live inventory,Replace mock map pins with live wall inventory/status or hide map for F&F,NOT DONE,KindnessMap.tsx still uses MOCK_MAP_DATA,16 Sep (Wed),
TO DO,TODO-02,P0,Location & Matching,Seed first ~40 as Being Matched / matched,Update seed so ~40 items show Being Matched/matched for social proof,NOT DONE,seed wall currently ~32 available only,17 Sep (Thu),
TO DO,TODO-03,P0,Claim Lifecycle,Capture decline reason,Add decline reason UI + API field (e.g. too far / out of zone),NOT DONE,giver-decision schema has decision only; no reason,16 Sep (Wed),
TO DO,TODO-04,P0,Messaging,Soft non-rejection copy for claimant,Replace hard declined/not approved wording in-app with soft match language,PARTIAL,Email soft; ClaimDetail/matchFlow still say declined,16 Sep (Wed),
TO DO,TODO-05,P0,Messaging,Finalise Accept/Decline/Match/Handover copy,Align all UI + email copy to soft Reloved tone,PARTIAL,Accept soft; decline still hard in places,16 Sep (Wed),
TO DO,TODO-06,P0,UX Status,Rename statuses to Available / Being Matched / Reloved,Replace FREE / Claim requested / Matched labels with agreed names,PARTIAL,WallOfKindnessCard uses FREE / Claim requested / Matched,16 Sep (Wed),
TO DO,TODO-07,P0,Delivery,Show giver delivery preference on item page,"For F&F: show handover vs the ONE chosen courier path + who pays. Do not present Borzo and Porter as dual equal options.",NOT DONE,ItemDetail has no public logistics preference; Phase 2 locks single courier deeply,16 Sep (Wed),
TO DO,TODO-08,P0,Delivery,Enforce courier prepaid / no COD for F&F,Block COD for F&F courier path; prepaid only. Full single-courier deep integration stays Phase 2.,PARTIAL,Receiver-pays lock exists; no explicit COD block in borzo,16 Sep (Wed),
TO DO,TODO-09,P0,Onboarding,Fix Boys/Girls/Kids size requirements,Do not force irrelevant size; keep adult size where needed,PARTIAL,Give.tsx still requires apparel size for all genders,16 Sep (Wed),
TO DO,TODO-10,P0,Listing,Allow delete own uncompleted listing,Add donor withdraw/delete for own incomplete listing,NOT DONE,No donor delete listing API/UI found,16 Sep (Wed),
TO DO,TODO-11,P0,Listing,Photo swipe on item details,Show all photos with swipe/carousel on ItemDetail,NOT DONE,ItemDetail renders images[0] only,16 Sep (Wed),
TO DO,TODO-12,P0,Admin & Seed,Assign owner to all seeded wall items,Every seeded item must have donorTarget/owner so claims route correctly,PARTIAL,/match-flow seed has owner; /wall seed does not,17 Sep (Thu),
TO DO,TODO-13,P0,Support Chat,Preset support only + human escalation email,Keep presets; escalate unanswered to admin email (not AI bot),PARTIAL,FloatingHelpButton has presets + free text; contact stores msg no auto-email,16 Sep (Wed),
TO DO,TODO-14,P0,Upload,Fix upload quota/rate-limit issues,Confirm and close remaining image upload failures on mobile,PARTIAL,Limits/fallback exist; no closed-bug proof,16 Sep (Wed),
TO DO,TODO-15,P0,Upload,Stabilize multi/simultaneous uploads,QA multi-photo + simultaneous upload especially on mobile,PARTIAL,Multi-upload implemented; needs stress QA,17 Sep (Thu),
TO DO,TODO-16,P0,Notifications,Verify notification triggers by stage,E2E check claim/match/decline/handover in-app + email,PARTIAL,Wired but BUG-16 marked MOSTLY,17 Sep (Thu),
TO DO,TODO-17,P1,UX Polish,Remove For You presentation,Remove FOR YOU / Picked for you; use status badges instead,NOT DONE,Still in WallOfKindnessCard / WallOfKindness,16 Sep (Wed),
TO DO,TODO-18,P1,UX Polish,Change claim limit to weekly 3 (pilot),Pilot rule is weekly 3 claims — currently monthly 3,PARTIAL,DONOR_MONTHLY_REQUEST_LIMIT = 3 in donor.ts,17 Sep (Thu),
TO DO,TODO-19,P1,UX Polish,Verify email copy matches UI state,Cross-check every email against soft UI wording,TO VERIFY,Needs QA pass Thursday,17 Sep (Thu),
TO DO,TODO-20,P1,UX Polish,Mobile + desktop flow verification,Full giver and claimer journeys on phone and desktop,TO VERIFY,Needs QA pass Thursday,17 Sep (Thu),
TO DO,TODO-21,P0,QA,Giver E2E journey,Login → Drop → Photos → Preferences → Submit → Match → Accept/Decline → Handover,TO VERIFY,Run Thursday,17 Sep (Thu),
TO DO,TODO-22,P0,QA,Claimer E2E journey,Login → Location → Nearby Wall → Claim → Match → Chat → Delivery → Received → Reloved,TO VERIFY,Run Thursday,17 Sep (Thu),
TO DO,TODO-23,P0,QA,Out-of-zone decline case,Soft messaging when claim is outside ~3 km preference,TO VERIFY,Run Thursday,17 Sep (Thu),
TO DO,TODO-24,P0,QA,Privacy / address visibility,Broad locality public; exact address only after match/handover,TO VERIFY,Run Thursday,17 Sep (Thu),
TO DO,TODO-25,P0,Friday Release,Fix remaining P0 bugs + regression,Morning bug bash + full regression,TO DO,Friday morning,18 Sep (Fri),
TO DO,TODO-26,P0,Friday Release,F&F credentials instructions + share build,Put test-ready build in Friends & Family hands,TO DO,Friday afternoon,18 Sep (Fri),
DONE,DONE-01,—,Location & Matching,Location-based Wall of Kindness,Already working,DONE,WallOfKindness + items.ts distance sort,—,
DONE,DONE-02,—,Location & Matching,~3 km nearby-first matching radius,Already working,DONE,geo.ts GIVER_SENDS_MATCH_RADIUS_KM = 3,—,
DONE,DONE-03,—,Privacy,Public broad locality only,Already working,DONE,toPublicArea / toPublicItem,—,
