Status,Area,What was delivered,In plain words
Done,Phase 1 — Brand,"Logo, colours, fonts, and site look",The brand look is live across the site
Done,Phase 1 — Website,"Home, Wall of Kindness, item pages, Wall of Love, map, Our Story, policies, contact",All main public pages work
Done,Phase 1 — Give,Photo-first give flow with upload and tracking,Someone can give an item end to end
Done,Phase 1 — Claim,Claim an item with tracking reference,Someone can claim from the Wall
Done,Phase 1 — Partners & contact,Partner application and contact forms,Enquiries and partner applications work
Done,Phase 1 — Sign-in,Email and phone one-time code login,People can sign in securely
Done,Phase 1 — Emails,"Emails for submissions, confirmations, and status updates",Donors and claimants get notified
Done,Phase 1 — Admin,"Admin can review, approve, or decline items",Your team can run the pilot day to day
Done,Phase 1 — Search & analytics,Basic search setup and visitor analytics,You can see traffic and search basics
Done,Phase 1 — Live site,Working live website,Live at https://reloved-digital.web.app
Done,Extra (beyond original plan),Google Sign-In,One-tap Google login added
Done,Extra (beyond original plan),Smarter accounts,Email and phone login stay the same person
Done,Extra (beyond original plan),FAQ page,Common questions answered on the site
Done,Extra (beyond original plan),Help widget,Instant help on the website
Done,Extra (beyond original plan),Faster admin photo suggestions,Admin gets title/category suggestions from a photo
Done,Extra (beyond original plan),Approve / decline follow-up emails,People hear back when a decision is made
Done,Extra (beyond original plan),Giver logistics choices,Receiver collects / I send / porter + who pays
Done,Extra (beyond original plan),Map building location,Building/locality already captured on the site map
Done,Extra (beyond original plan),Legal acceptance polish,Clearer Terms and Privacy acceptance
