Date,Day,Work happened?,What was going on (simple)
2026-08-12,Wednesday,Contract,Phase 1 scope signed
2026-08-19,Wednesday,Yes,Build work started
2026-08-20,Thursday,Yes,Build continued (original target date for live on main domain)
2026-08-21,Friday,Yes,Homepage and Wall of Kindness published
2026-08-22,Saturday,Yes,Login codes and homepage polish
2026-08-23,Sunday,No,No work logged
2026-08-24,Monday,Yes,Give flow and item details improvements
2026-08-25,Tuesday,Yes,Homepage cleanup toward live launch
2026-08-26,Wednesday,Yes,"Map, addresses, donor account, uploads"
2026-08-27,Thursday,Yes,"Wall, donor flows, production home polish"
2026-08-28,Friday,No,No work logged
2026-08-29,Saturday,Yes,End-to-end give/upload and backend checks
2026-08-30,Sunday,No,No work logged
2026-08-31,Monday,Yes,"Google login, emails, handover package"
2026-09-01,Tuesday,Yes,Data and design polish
2026-09-02,Wednesday,Yes,"Hero, legal pages, emails, mobile Wall fix"
2026-09-03,Thursday,Yes,Mobile checks and final polish before short pause
2026-09-04,Friday,No,Pause
2026-09-05,Saturday,No,Pause
2026-09-06,Sunday,No,Pause
2026-09-07,Monday,No,Pause
2026-09-08,Tuesday,Yes,"Launch planning, privacy/pickup discussion, SMS sender registration started"
2026-09-09,Wednesday,Yes,Launch vs Phase 2 list finalised with client conversation
